chrom	start	end	name	gie_stain
chr11_KL568022v1_random	0	7520		gneg
chr11_KL568023v1_random	0	1603		gneg
chr11_KL568024v1_random	0	28231		gneg
chr11_KL568025v1_random	0	19565		gneg
chr11_KL568026v1_random	0	15784		gneg
chr11_KL568027v1_random	0	2724		gneg
chr11_KL568028v1_random	0	8337		gneg
chr11_KL568029v1_random	0	35203		gneg
chr11_KL568030v1_random	0	11773		gneg
chr11_KL568031v1_random	0	8183		gneg
chr12	0	6179255	p12	gvar
chr12	6179255	14160793	p11	gneg
chr12	14160793	21048088	q11	gvar
chr12	21048088	30252603	q12	gneg
chr12	30252603	32054886	q13	gpos
chr12	32054886	36624960	q14	gneg
chr12	36624960	38234141	q15	gpos
chr12	38234141	52716770	q16	gneg
chr12_AABR07051059v1_random	0	4594		gneg
chr12_AABR07051089v1_random	0	580		gneg
chr12_AABR07051090v1_random	0	3027		gneg
chr12_KL568032v1_random	0	10672		gneg
chr12_KL568033v1_random	0	14885		gneg
chr12_KL568034v1_random	0	3214		gneg
chr12_KL568035v1_random	0	7095		gneg
chr12_KL568036v1_random	0	18420		gneg
chr12_KL568037v1_random	0	6770		gneg
chr12_KL568038v1_random	0	17009		gneg
chr12_KL568039v1_random	0	17744		gneg
chr12_KL568040v1_random	0	11557		gneg
chr13	0	17850620	p13	gvar
chr13	17850620	23520817	p12	gneg
chr13	23520817	30976075	p11	gpos
chr13	30976075	41056425	q11	gneg
chr13	41056425	44101531	q12	gpos
chr13	44101531	57121983	q13	gneg
chr13	57121983	73607555	q21	gpos
chr13	73607555	82217853	q22	gneg
chr13	82217853	85157955	q23	gpos
chr13	85157955	93453243	q24	gneg
chr13	93453243	96393345	q25	gpos
chr13	96393345	108363761	q26	gneg
chr13	108363761	114033958	q27	gpos
chr13_AABR07050784v1_random	0	3876		gneg
chr13_KL568041v1_random	0	22880		gneg
chr13_KL568042v1_random	0	22393		gneg
chr13_KL568043v1_random	0	4810		gneg
chr13_KL568044v1_random	0	21067		gneg
chr13_KL568045v1_random	0	40838		gneg
chr13_KL568046v1_random	0	23864		gneg
chr13_KL568047v1_random	0	4212		gneg
chr13_KL568048v1_random	0	17062		gneg
chr13_KL568049v1_random	0	19070		gneg
chr13_KL568050v1_random	0	2905		gneg
chr13_KL568051v1_random	0	60838		gneg
chr14	0	21767292	p22	gneg
chr14	21767292	32333938	p21	gpos
chr14	32333938	50719903	p11	gneg
chr14	50719903	70690865	q11	gpos
chr14	70690865	97741480	q21	gneg
chr14	97741480	115493446	q22	gvar
chr14_KL568052v1_random	0	23128		gneg
chr14_KL568053v1_random	0	33884		gneg
chr14_KL568054v1_random	0	31451		gneg
chr14_KL568055v1_random	0	6984		gneg
chr14_KL568056v1_random	0	2940		gneg
chr14_KL568057v1_random	0	35355		gneg
chr14_KL568058v1_random	0	16413		gneg
chr14_KL568059v1_random	0	27955		gneg
chr14_KL568060v1_random	0	3352		gneg
chr14_KL568061v1_random	0	4767		gneg
chr15	0	14694954	p16	gneg
chr15	14694954	17416241	p15	gpos
chr15	17416241	32111194	p14	gneg
chr15	32111194	34832482	p13	gpos
chr15	34832482	48438920	p12	gneg
chr15	48438920	54970010	p11	gpos
chr15	54970010	61174546	q11	gpos
chr15	61174546	72821657	q12	gneg
chr15	72821657	87952016	q21	gpos
chr15	87952016	92959186	q22	gneg
chr15	92959186	100687643	q23	gpos
chr15	100687643	107654139	q24	gneg
chr15	107654139	111246239	q25	gpos
chr15_AABR07046563v1_random	0	1113		gneg
chr15_KL568062v1_random	0	5881		gneg
chr15_KL568063v1_random	0	15622		gneg
chr15_KL568064v1_random	0	39113		gneg
chr15_KL568065v1_random	0	2068		gneg
chr15_KL568066v1_random	0	16414		gneg
chr15_KL568067v1_random	0	76800		gneg
chr15_KL568068v1_random	0	28441		gneg
chr15_KL568069v1_random	0	3057		gneg
chr15_KL568070v1_random	0	13105		gneg
chr15_KL568071v1_random	0	5890		gneg
chr15_KL568072v1_random	0	27900		gneg
chr15_KL568073v1_random	0	13013		gneg
chr15_KL568074v1_random	0	11065		gneg
chr16	0	10293819	p16	gneg
chr16	10293819	12165423	p15	gpos
chr16	12165423	25162669	p14	gneg
chr16	25162669	29529744	p13	gpos
chr16	29529744	35144554	p12	gneg
chr16	35144554	42526990	p11	gpos
chr16	42526990	51781029	q11	gpos
chr16	51781029	59163465	q12.1	gneg
chr16	59163465	62074848	q12.2	gpos
chr16	62074848	69561262	q12.3	gneg
chr16	69561262	72160711	q12.4	gpos
chr16	72160711	90668790	q12.5	gneg
chr16_AABR07050959v1_random	0	2278		gneg
chr16_AABR07050985v1_random	0	742		gneg
chr16_AABR07050986v1_random	0	3473		gneg
chr16_AABR07050989v1_random	0	2001		gneg
chr16_KL568075v1_random	0	15415		gneg
chr16_KL568076v1_random	0	33299		gneg
chr16_KL568077v1_random	0	9129		gneg
chr16_KL568078v1_random	0	25637		gneg
chr16_KL568079v1_random	0	45872		gneg
chr16_KL568080v1_random	0	49795		gneg
chr16_KL568081v1_random	0	17953		gneg
chr16_KL568082v1_random	0	2971		gneg
chr17	0	21435049	p14	gneg
chr17	21435049	23578554	p13	gpos
chr17	23578554	39910020	p12	gneg
chr17	39910020	45421890	p11	gpos
chr17	45421890	50831688	q11	gpos
chr17	50831688	68285941	q12.1	gneg
chr17	68285941	70837733	q12.2	gpos
chr17	70837733	90843779	q12.3	gneg
chr17_AABR07050910v1_random	0	3308		gneg
chr17_AABR07050911v1_random	0	2566		gneg
chr17_AABR07050912v1_random	0	743		gneg
chr17_AABR07050916v1_random	0	825		gneg
chr17_KL568083v1_random	0	2923		gneg
chr17_KL568084v1_random	0	15805		gneg
chr17_KL568085v1_random	0	31300		gneg
chr17_KL568086v1_random	0	7522		gneg
chr17_KL568087v1_random	0	20486		gneg
chr17_KL568088v1_random	0	23848		gneg
chr17_KL568089v1_random	0	17431		gneg
chr17_KL568090v1_random	0	4623		gneg
chr17_KL568091v1_random	0	9189		gneg
chr17_KL568092v1_random	0	33190		gneg
chr18	0	10718209	p13	gpos
chr18	10718209	27800355	p12	gneg
chr18	27800355	37737028	p11	gpos
chr18	37737028	51581381	q11	gpos
chr18	51581381	68328583	q12.1	gneg
chr18	68328583	72236263	q12.2	gpos
chr18	72236263	83736008	q12.3	gneg
chr18	83736008	88201929	q13	gpos
chr18_AABR07051098v1_random	0	572		gneg
chr18_AABR07051099v1_random	0	1185		gneg
chr18_AABR07051126v1_random	0	2299		gneg
chr18_KL568093v1_random	0	12008		gneg
chr18_KL568094v1_random	0	3318		gneg
chr18_KL568095v1_random	0	7639		gneg
chr18_KL568096v1_random	0	45622		gneg
chr18_KL568097v1_random	0	57850		gneg
chr18_KL568098v1_random	0	4827		gneg
chr18_KL568099v1_random	0	12402		gneg
chr19	0	4269865	p14	gpos
chr19	4269865	11117761	p13	gneg
chr19	11117761	12890158	p12	gpos
chr19	12890158	23524538	p11	gneg
chr19	23524538	37300894	q11	gpos
chr19	37300894	62275575	q12	gneg
chr19_KL568100v1_random	0	24817		gneg
chr19_KL568101v1_random	0	59862		gneg
chr19_KL568102v1_random	0	53245		gneg
chr1_AABR07046142v1_random	0	4043		gneg
chr1_AABR07046150v1_random	0	1041		gneg
chr1_AABR07046158v1_random	0	3018		gneg
chr1_AABR07046159v1_random	0	3224		gneg
chr1_AABR07046182v1_random	0	659		gneg
chr1_AABR07046186v1_random	0	881		gneg
chr1_AABR07046187v1_random	0	2999		gneg
chr1_AABR07046211v1_random	0	1042		gneg
chr1_AABR07046212v1_random	0	3264		gneg
chr1_AABR07046222v1_random	0	2978		gneg
chr1_AABR07046230v1_random	0	6554		gneg
chr1_AABR07046231v1_random	0	31509		gneg
chr1_KL567879v1_random	0	4483		gneg
chr1_KL567880v1_random	0	16921		gneg
chr1_KL567881v1_random	0	28452		gneg
chr1_KL567882v1_random	0	28706		gneg
chr1_KL567883v1_random	0	3546		gneg
chr1_KL567884v1_random	0	19577		gneg
chr1_KL567885v1_random	0	6757		gneg
chr1_KL567886v1_random	0	16175		gneg
chr1_KL567887v1_random	0	5668		gneg
chr1_KL567888v1_random	0	5884		gneg
chr1_KL567889v1_random	0	24468		gneg
chr1_KL567890v1_random	0	2119		gneg
chr1_KL567891v1_random	0	53404		gneg
chr1_KL567892v1_random	0	34086		gneg
chr1_KL567893v1_random	0	30950		gneg
chr1_KL567894v1_random	0	30438		gneg
chr1_KL567895v1_random	0	26645		gneg
chr2	0	16392456	q11	gpos
chr2	16392456	35670907	q12	gneg
chr2	35670907	38210584	q13	gpos
chr2	38210584	49292807	q14	gneg
chr2	49292807	52525122	q15	gpos
chr2	52525122	65685263	q16	gneg
chr2	65685263	75151329	q21	gpos
chr2	75151329	87503390	q22	gneg
chr2	87503390	100663531	q23	gpos
chr2	100663531	121211820	q24	gneg
chr2	121211820	130677886	q25	gpos
chr2	130677886	150071777	q26	gneg
chr2	150071777	164386316	q31	gpos
chr2	164386316	176738378	q32	gneg
chr2	176738378	180086133	q33	gpos
chr2	180086133	211716646	q34	gneg
chr2	211716646	226031185	q41	gpos
chr2	226031185	234342852	q42	gneg
chr2	234342852	242539080	q43	gpos
chr2	242539080	254083063	q44	gneg
chr2	254083063	266435125	q45	gvar
chr20	0	16230015	p12	gneg
chr20	16230015	27122642	p11	gpos
chr20	27122642	38668826	q11	gneg
chr20	38668826	46511518	q12	gpos
chr20	46511518	56205956	q13	gneg
chr20_AABR07055056v1_random	0	2941		gneg
chr20_AABR07055065v1_random	0	1347		gneg
chr20_KL568103v1_random	0	4554		gneg
chr20_KL568104v1_random	0	16888		gneg
chr20_KL568105v1_random	0	2619		gneg
chr20_KL568106v1_random	0	5546		gneg
chr20_KL568107v1_random	0	4592		gneg
chr20_KL568108v1_random	0	44883		gneg
chr20_KL568109v1_random	0	29266		gneg
chr20_KL568110v1_random	0	8294		gneg
chr2_AABR07045875v1_random	0	515		gneg
chr2_AABR07045975v1_random	0	4223		gneg
chr2_AABR07046014v1_random	0	955		gneg
chr2_KL567896v1_random	0	8590		gneg
chr2_KL567897v1_random	0	4528		gneg
chr2_KL567898v1_random	0	34630		gneg
chr2_KL567899v1_random	0	11090		gneg
chr2_KL567900v1_random	0	14052		gneg
chr2_KL567901v1_random	0	46970		gneg
chr2_KL567902v1_random	0	33155		gneg
chr2_KL567903v1_random	0	32912		gneg
chr2_KL567904v1_random	0	11839		gneg
chr2_KL567905v1_random	0	3364		gneg
chr2_KL567906v1_random	0	31912		gneg
chr2_KL567907v1_random	0	53909		gneg
chr2_KL567908v1_random	0	61811		gneg
chr2_KL567909v1_random	0	11554		gneg
chr2_KL567910v1_random	0	22191		gneg
chr2_KL567911v1_random	0	23371		gneg
chr2_KL567912v1_random	0	8936		gneg
chr2_KL567913v1_random	0	34458		gneg
chr2_KL567914v1_random	0	57161		gneg
chr2_KL567915v1_random	0	19935		gneg
chr3	0	5510884	p13	gvar
chr3	5510884	11437683	p12	gneg
chr3	11437683	16948566	p11	gpos
chr3	16948566	22147513	q11	gpos
chr3	22147513	40655762	q12	gneg
chr3	40655762	56252602	q21	gpos
chr3	56252602	58020243	q22	gneg
chr3	58020243	62907253	q23	gpos
chr3	62907253	81415503	q24	gneg
chr3	81415503	91709417	q31	gpos
chr3	91709417	94724806	q32	gneg
chr3	94724806	99923752	q33	gpos
chr3	99923752	103563015	q34	gneg
chr3	103563015	116560381	q35	gpos
chr3	116560381	133197010	q36	gneg
chr3	133197010	150977407	q41	gpos
chr3	150977407	172085129	q42	gneg
chr3	172085129	177699992	q43	gvar
chr3_AABR07046243v1_random	0	1049		gneg
chr3_AABR07046248v1_random	0	619		gneg
chr3_AABR07046249v1_random	0	1163		gneg
chr3_AABR07046267v1_random	0	1821		gneg
chr3_AABR07046283v1_random	0	567		gneg
chr3_AABR07046296v1_random	0	2362		gneg
chr3_AABR07046319v1_random	0	2826		gneg
chr3_KL567916v1_random	0	18861		gneg
chr3_KL567917v1_random	0	33261		gneg
chr3_KL567918v1_random	0	5278		gneg
chr3_KL567919v1_random	0	100126		gneg
chr3_KL567920v1_random	0	17963		gneg
chr3_KL567921v1_random	0	15352		gneg
chr3_KL567922v1_random	0	5545		gneg
chr3_KL567923v1_random	0	9678		gneg
chr3_KL567924v1_random	0	25463		gneg
chr3_KL567925v1_random	0	1808		gneg
chr3_KL567926v1_random	0	59501		gneg
chr3_KL567927v1_random	0	13550		gneg
chr3_KL567928v1_random	0	4407		gneg
chr3_KL567929v1_random	0	2912		gneg
chr3_KL567930v1_random	0	5384		gneg
chr3_KL567931v1_random	0	18329		gneg
chr3_KL567932v1_random	0	8306		gneg
chr4	0	15370236	q11	gneg
chr4	15370236	25003693	q12	gpos
chr4	25003693	31498158	q13	gneg
chr4	31498158	45461259	q21	gpos
chr4	45461259	68516612	q22	gneg
chr4	68516612	71222639	q23	gpos
chr4	71222639	91247241	q24	gneg
chr4	91247241	101313662	q31	gpos
chr4	101313662	102829038	q32	gneg
chr4	102829038	110514155	q33	gpos
chr4	110514155	134868401	q34	gneg
chr4	134868401	144501858	q41	gpos
chr4	144501858	167557210	q42	gneg
chr4	167557210	171453890	q43	gpos
chr4	171453890	184226339	q44	gneg
chr4_AABR07046405v1_random	0	682		gneg
chr4_KL567933v1_random	0	27386		gneg
chr4_KL567934v1_random	0	6638		gneg
chr4_KL567935v1_random	0	14953		gneg
chr4_KL567936v1_random	0	14424		gneg
chr4_KL567937v1_random	0	28091		gneg
chr4_KL567938v1_random	0	21336		gneg
chr4_KL567939v1_random	0	227955		gneg
chr4_KL567940v1_random	0	77814		gneg
chr4_KL567941v1_random	0	54041		gneg
chr4_KL567942v1_random	0	8128		gneg
chr4_KL567943v1_random	0	20550		gneg
chr4_KL567944v1_random	0	25173		gneg
chr4_KL567945v1_random	0	16464		gneg
chr4_KL567946v1_random	0	66194		gneg
chr4_KL567947v1_random	0	56466		gneg
chr5	0	12335568	q11	gneg
chr5	12335568	20297616	q12	gpos
chr5	20297616	34651731	q13	gneg
chr5	34651731	51809384	q21	gpos
chr5	51809384	67060631	q22	gneg
chr5	67060631	69864169	q23	gpos
chr5	69864169	85788265	q24	gneg
chr5	85788265	104964465	q31	gpos
chr5	104964465	112590089	q32	gneg
chr5	112590089	123692100	q33	gpos
chr5	123692100	128962751	q34	gneg
chr5	128962751	135691242	q35	gpos
chr5	135691242	173707219	q36	gneg
chr5_AABR07046433v1_random	0	2834		gneg
chr5_AABR07046507v1_random	0	1207		gneg
chr5_KL567948v1_random	0	3195		gneg
chr5_KL567949v1_random	0	4694		gneg
chr5_KL567950v1_random	0	6510		gneg
chr5_KL567951v1_random	0	40651		gneg
chr5_KL567952v1_random	0	12293		gneg
chr5_KL567953v1_random	0	17865		gneg
chr5_KL567954v1_random	0	33929		gneg
chr5_KL567955v1_random	0	2942		gneg
chr5_KL567956v1_random	0	667		gneg
chr5_KL567957v1_random	0	32762		gneg
chr5_KL567958v1_random	0	27327		gneg
chr5_KL567959v1_random	0	147722		gneg
chr5_KL567960v1_random	0	4527		gneg
chr5_KL567961v1_random	0	10282		gneg
chr5_KL567962v1_random	0	6046		gneg
chr5_KL567963v1_random	0	11717		gneg
chr5_KL567964v1_random	0	6173		gneg
chr6	0	3929968	q11	gpos
chr6	3929968	21109543	q12	gneg
chr6	21109543	25151796	q13	gpos
chr6	25151796	36717130	q14	gneg
chr6	36717130	40759383	q15	gpos
chr6	40759383	55917831	q16	gneg
chr6	55917831	67932304	q21	gpos
chr6	67932304	72311412	q22	gneg
chr6	72311412	83989031	q23	gpos
chr6	83989031	107905693	q24	gneg
chr6	107905693	119920167	q31	gpos
chr6	119920167	139906861	q32	gneg
chr6	139906861	147991367	q33	gpos
chr6_AABR07055042v1_random	0	1118		gneg
chr6_KL567965v1_random	0	26164		gneg
chr6_KL567966v1_random	0	11408		gneg
chr6_KL567967v1_random	0	13829		gneg
chr6_KL567968v1_random	0	14678		gneg
chr6_KL567969v1_random	0	4340		gneg
chr6_KL567970v1_random	0	16625		gneg
chr6_KL567971v1_random	0	14904		gneg
chr6_KL567972v1_random	0	25590		gneg
chr6_KL567973v1_random	0	15169		gneg
chr6_KL567974v1_random	0	16318		gneg
chr7	0	15564443	q11	gneg
chr7	15564443	18446747	q12	gpos
chr7	18446747	41851058	q13	gneg
chr7	41851058	53264982	q21	gpos
chr7	53264982	77937506	q22	gneg
chr7	77937506	93501949	q31	gpos
chr7	93501949	96384253	q32	gneg
chr7	96384253	106645256	q33	gpos
chr7	106645256	131317780	q34	gneg
chr7	131317780	138696479	q35	gpos
chr7	138696479	145729302	q36	gneg
chr7_AABR07046019v1_random	0	523		gneg
chr7_AABR07046034v1_random	0	530		gneg
chr7_AABR07046136v1_random	0	16358		gneg
chr7_AABR07046137v1_random	0	1393		gneg
chr7_KL567975v1_random	0	26321		gneg
chr7_KL567976v1_random	0	24724		gneg
chr7_KL567977v1_random	0	11537		gneg
chr7_KL567978v1_random	0	3931		gneg
chr7_KL567979v1_random	0	569		gneg
chr7_KL567980v1_random	0	14205		gneg
chr7_KL567981v1_random	0	38234		gneg
chr7_KL567982v1_random	0	15070		gneg
chr7_KL567983v1_random	0	13399		gneg
chr7_KL567984v1_random	0	39602		gneg
chr7_KL567985v1_random	0	4799		gneg
chr7_KL567986v1_random	0	25064		gneg
chr7_KL567987v1_random	0	14346		gneg
chr7_KL567988v1_random	0	36409		gneg
chr7_KL567989v1_random	0	1608		gneg
chr7_KL567990v1_random	0	2196		gneg
chr7_KL567991v1_random	0	1075		gneg
chr7_KL567992v1_random	0	2204		gneg
chr7_KL567993v1_random	0	26319		gneg
chr7_KL567994v1_random	0	69252		gneg
chr8	0	12266910	q11	gneg
chr8	12266910	17369076	q12	gpos
chr8	17369076	32784130	q13	gneg
chr8	32784130	41685781	q21	gpos
chr8	41685781	50587432	q22	gneg
chr8	50587432	56015268	q23	gpos
chr8	56015268	84999912	q24	gneg
chr8	84999912	110076514	q31	gpos
chr8	110076514	133307652	q32	gneg
chr8_AABR07050661v1_random	0	586		gneg
chr8_AABR07050689v1_random	0	760		gneg
chr8_AABR07050727v1_random	0	2164		gneg
chr8_KL567995v1_random	0	18840		gneg
chr8_KL567996v1_random	0	2893		gneg
chr8_KL567997v1_random	0	36789		gneg
chr8_KL567998v1_random	0	11262		gneg
chr8_KL567999v1_random	0	17960		gneg
chr8_KL568000v1_random	0	3475		gneg
chr8_KL568001v1_random	0	95634		gneg
chr8_KL568002v1_random	0	23102		gneg
chr9	0	7809034	q11	gneg
chr9	7809034	18361782	q12	gpos
chr9	18361782	30391915	q13	gneg
chr9	30391915	45060235	q21	gpos
chr9	45060235	56351676	q22	gneg
chr9	56351676	66798896	q31	gpos
chr9	66798896	75452150	q32	gneg
chr9	75452150	84527513	q33	gpos
chr9	84527513	90120470	q34	gneg
chr9	90120470	96874228	q35	gpos
chr9	96874228	108904361	q36	gneg
chr9	108904361	115658120	q37	gpos
chr9	115658120	122095297	q38	gneg
chr9_AABR07051154v1_random	0	520		gneg
chr9_AABR07051155v1_random	0	4212		gneg
chr9_KL568003v1_random	0	104398		gneg
chr9_KL568004v1_random	0	3829		gneg
chr9_KL568005v1_random	0	48638		gneg
chr9_KL568006v1_random	0	29490		gneg
chr9_KL568007v1_random	0	19393		gneg
chrM	0	16313		gneg
chrUn_AABR07022239v1	0	607		gneg
chrUn_AABR07022257v1	0	562		gneg
chrUn_AABR07022258v1	0	875		gneg
chrUn_AABR07022259v1	0	667		gneg
chrUn_AABR07022263v1	0	626		gneg
chrUn_AABR07022264v1	0	714		gneg
chrUn_AABR07022265v1	0	675		gneg
chrUn_AABR07022266v1	0	650		gneg
chrUn_AABR07022273v1	0	556		gneg
chrUn_AABR07022279v1	0	704		gneg
chrUn_AABR07022284v1	0	700		gneg
chrUn_AABR07022287v1	0	683		gneg
chrUn_AABR07022288v1	0	522		gneg
chrUn_AABR07022298v1	0	428		gneg
chrUn_AABR07022299v1	0	1106		gneg
chrUn_AABR07022300v1	0	584		gneg
chrUn_AABR07022301v1	0	482		gneg
chrUn_AABR07022304v1	0	714		gneg
chrUn_AABR07022333v1	0	391		gneg
chrUn_AABR07022334v1	0	815		gneg
chrUn_AABR07022335v1	0	654		gneg
chrUn_AABR07022336v1	0	723		gneg
chrUn_AABR07022337v1	0	564		gneg
chrUn_AABR07022342v1	0	785		gneg
chrUn_AABR07022350v1	0	745		gneg
chrUn_AABR07022359v1	0	723		gneg
chrUn_AABR07022367v1	0	641		gneg
chrUn_AABR07022368v1	0	552		gneg
chrUn_AABR07022378v1	0	849		gneg
chrUn_AABR07022404v1	0	754		gneg
chrUn_AABR07022405v1	0	816		gneg
chrUn_AABR07022416v1	0	691		gneg
chrUn_AABR07022425v1	0	559		gneg
chrUn_AABR07022428v1	0	605		gneg
chrUn_AABR07022431v1	0	534		gneg
chrUn_AABR07022456v1	0	351		gneg
chrUn_AABR07022478v1	0	530		gneg
chrUn_AABR07022479v1	0	503		gneg
chrUn_AABR07022504v1	0	555		gneg
chrUn_AABR07022511v1	0	3545		gneg
chrUn_AABR07022514v1	0	450		gneg
chrUn_AABR07022517v1	0	942		gneg
chrUn_AABR07022519v1	0	663		gneg
chrUn_AABR07022531v1	0	766		gneg
chrUn_AABR07022532v1	0	503		gneg
chrUn_AABR07022559v1	0	609		gneg
chrUn_AABR07022573v1	0	1063		gneg
chrUn_AABR07022594v1	0	1852		gneg
chrUn_AABR07022608v1	0	790		gneg
chrUn_AABR07022616v1	0	815		gneg
chrUn_AABR07022619v1	0	663		gneg
chrUn_AABR07022620v1	0	2057		gneg
chrUn_AABR07022621v1	0	547		gneg
chrUn_AABR07022626v1	0	804		gneg
chrUn_AABR07022627v1	0	795		gneg
chrUn_AABR07022628v1	0	535		gneg
chrUn_AABR07022629v1	0	613		gneg
chrUn_AABR07022630v1	0	2877		gneg
chrUn_AABR07022645v1	0	523		gneg
chrUn_AABR07022654v1	0	1981		gneg
chrUn_AABR07022671v1	0	563		gneg
chrUn_AABR07022672v1	0	706		gneg
chrUn_AABR07022676v1	0	690		gneg
chrUn_AABR07022684v1	0	681		gneg
chrUn_AABR07022707v1	0	3741		gneg
chrUn_AABR07022726v1	0	588		gneg
chrUn_AABR07022729v1	0	740		gneg
chrUn_AABR07022737v1	0	2840		gneg
chrUn_AABR07022738v1	0	588		gneg
chrUn_AABR07022753v1	0	529		gneg
chrUn_AABR07022759v1	0	741		gneg
chrUn_AABR07022760v1	0	658		gneg
chrUn_AABR07022783v1	0	560		gneg
chrUn_AABR07022793v1	0	493		gneg
chrUn_AABR07022802v1	0	521		gneg
chrUn_AABR07022827v1	0	619		gneg
chrUn_AABR07022828v1	0	664		gneg
chrUn_AABR07022829v1	0	549		gneg
chrUn_AABR07022830v1	0	1094		gneg
chrUn_AABR07022857v1	0	996		gneg
chrUn_AABR07022871v1	0	1098		gneg
chrUn_AABR07022880v1	0	577		gneg
chrUn_AABR07022881v1	0	642		gneg
chrUn_AABR07022884v1	0	614		gneg
chrUn_AABR07022885v1	0	265		gneg
chrUn_AABR07022905v1	0	763		gneg
chrUn_AABR07022906v1	0	453		gneg
chrUn_AABR07022907v1	0	670		gneg
chrUn_AABR07022920v1	0	515		gneg
chrUn_AABR07022921v1	0	649		gneg
chrUn_AABR07022922v1	0	567		gneg
chrUn_AABR07022923v1	0	2226		gneg
chrUn_AABR07022926v1	0	1138		gneg
chrUn_AABR07022934v1	0	743		gneg
chrUn_AABR07022944v1	0	238		gneg
chrUn_AABR07022957v1	0	575		gneg
chrUn_AABR07022973v1	0	786		gneg
chrUn_AABR07022990v1	0	622		gneg
chrUn_AABR07022993v1	0	642		gneg
chrUn_AABR07022994v1	0	526		gneg
chrUn_AABR07023014v1	0	529		gneg
chrUn_AABR07023024v1	0	748		gneg
chrUn_AABR07023031v1	0	813		gneg
chrUn_AABR07023052v1	0	1106		gneg
chrUn_AABR07023067v1	0	774		gneg
chrUn_AABR07023068v1	0	2217		gneg
chrUn_AABR07023168v1	0	2153		gneg
chrUn_AABR07023321v1	0	656		gneg
chrUn_AABR07023324v1	0	503		gneg
chrUn_AABR07023325v1	0	1839		gneg
chrUn_AABR07023445v1	0	789		gneg
chrUn_AABR07023534v1	0	647		gneg
chrUn_AABR07023560v1	0	592		gneg
chrUn_AABR07023949v1	0	515		gneg
chrUn_AABR07023967v1	0	516		gneg
chrUn_AABR07023968v1	0	1301		gneg
chrUn_AABR07023990v1	0	4561		gneg
chrUn_AABR07024005v1	0	665		gneg
chrUn_AABR07024006v1	0	657		gneg
chrUn_AABR07024007v1	0	828		gneg
chrUn_AABR07024031v1	0	62230		gneg
chrUn_AABR07024032v1	0	24546		gneg
chrUn_AABR07024039v1	0	65089		gneg
chrUn_AABR07024040v1	0	11025		gneg
chrUn_AABR07024041v1	0	31641		gneg
chrUn_AABR07024042v1	0	35846		gneg
chrUn_AABR07024043v1	0	665		gneg
chrUn_AABR07024044v1	0	21485		gneg
chrUn_AABR07024045v1	0	2041		gneg
chrUn_AABR07024046v1	0	4613		gneg
chrUn_AABR07024047v1	0	128550		gneg
chrUn_AABR07024066v1	0	44061		gneg
chrUn_AABR07024067v1	0	4328		gneg
chrUn_AABR07024071v1	0	21256		gneg
chrUn_AABR07024080v1	0	991		gneg
chrUn_AABR07024092v1	0	669		gneg
