chrom	start	end
chr16_JH584307_alt	1	250595
chrX_GL456031_alt	1	247850
chr11_JH584316_alt	1	247497
chr19_JH792830_fix	1	246751
chrX_KZ289093_fix	1	245130
chr3_GL456049_alt	1	243366
chr1_GL456211_random	1	241735
chr4_GL456009_alt	1	240498
chr18_JH584318_alt	1	231969
chr4_GL456350_random	1	227966
chrY_JH792833_fix	1	221588
chr1_JH584315_alt	1	220020
chrX_KQ030497_fix	1	219721
chr4_JH584325_alt	1	215601
chr11_KZ289073_alt	1	215264
chr3_KQ030484_fix	1	214957
chr15_KV575241_fix	1	211337
chr9_KB469738_fix	1	210641
chrY_GL456082_alt	1	209635
chr4_JH584293_random	1	207968
chr1_GL456221_random	1	206961
chr5_JH584297_random	1	205776
chr5_JH792827_fix	1	205713
chrY_GL456072_alt	1	204663
chrX_JH792831_fix	1	203377
chr1_KV575232_fix	1	200008
chr5_JH584296_random	1	199368
chr6_GL456065_alt	1	198515
chrY_GL456073_alt	1	196014
chr5_GL456354_random	1	195993
chr2_KV575235_fix	1	195735
chrX_GL456032_alt	1	194271
chr4_JH584294_random	1	191905
chr4_GL456076_alt	1	191695
chrY_GL456080_alt	1	191521
chr16_JH584311_alt	1	189707
chrY_GL456071_alt	1	189119
chr4_KQ030489_fix	1	188269
chr11_JH584317_alt	1	186379
chr11_KZ289077_alt	1	186144
chr4_KQ030485_fix	1	185548
chrY_GL456081_alt	1	185346
chr5_JH584298_random	1	184189
chr16_JH584312_alt	1	184044
chr8_GL455996_alt	1	183135
chrY_JH584300_random	1	182347
chr5_GL456011_alt	1	180394
chr13_JH584305_alt	1	179252
chr16_GL456028_alt	1	176974
chr7_GL456219_random	1	175968
chr8_KV575240_fix	1	171859
chr3_KZ289065_fix	1	171653
chr16_JH584314_alt	1	170763
chr4_GL455994_alt	1	170592
chr11_GL455998_alt	1	170397
chr1_GL456210_random	1	169725
chr2_KV575236_fix	1	166096
chr15_KQ030492_fix	1	166012
chr17_JH584309_alt	1	162935
chr3_GL456045_alt	1	161821
chr11_GL456016_alt	1	161334
chrY_JH584303_random	1	158099
chrY_JH584302_random	1	155838
chrX_KZ289094_fix	1	155470
chr6_KK082442_fix	1	154766
chr1_GL456005_alt	1	154284
chr1_GL456212_random	1	153618
chr6_GL456025_alt	1	145152
chrna_GL456050_alt	1	142341
chr17_GL456069_alt	1	138490
chr4_GL456064_alt	1	138473
chr13_GL455999_alt	1	138435
chr10_KQ030491_fix	1	129865
chr3_GL456008_alt	1	124933
chrX_GL456004_alt	1	123835
chr1_GL455992_alt	1	120856
chr9_KQ030490_fix	1	120154
chr3_KZ289064_fix	1	117769
chrUn_JH584304	1	114452
chr12_KZ289082_fix	1	111720
chr14_GL456020_alt	1	105813
chr13_GL455990_alt	1	100803
chr12_GL456078_alt	1	99963
chr7_GL456014_alt	1	91251
chr15_JH584270_alt	1	89177
chr15_GL456000_alt	1	88442
chr18_GL456070_alt	1	85548
chr12_GL456074_alt	1	84250
chr12_GL456349_alt	1	83612
chr4_GL456077_alt	1	83218
chrX_GL456033_alt	1	78689
chr10_GL456015_alt	1	77891
chr4_GL456010_alt	1	76099
chrUn_GL456379	1	72385
chr7_KV575239_fix	1	71460
chr4_JH584268_alt	1	69753
chr4_GL456216_random	1	66673
chr14_KZ289083_fix	1	66290
chr12_GL456068_alt	1	59641
chr7_GL455989_alt	1	55856
chrUn_GL456393	1	55711
chrUn_GL456366	1	47073
chr19_GL456079_alt	1	46440
chr4_KQ030488_fix	1	45901
chrUn_GL456367	1	42057
chrUn_GL456239	1	40056
chr1_GL456213_random	1	39340
chrUn_GL456383	1	38659
chrUn_GL456385	1	35240
chr7_GL456013_alt	1	34498
chrUn_GL456360	1	31704
chrUn_GL456378	1	31602
chrUn_GL456389	1	28772
chrUn_GL456372	1	28664
chr17_GL456021_alt	1	28130
chrUn_GL456370	1	26764
chrUn_GL456381	1	25871
chr19_JH584319_alt	1	25407
chrUn_GL456387	1	24685
chrUn_GL456390	1	24668
chrUn_GL456394	1	24323
chrUn_GL456392	1	23629
chrUn_GL456382	1	23158
chrUn_GL456359	1	22974
chrUn_GL456396	1	21240
chrUn_GL456368	1	20208
chrM	1	16299
chr4_JH584292_random	1	14945
chr4_JH584295_random	1	1976
