chrom	start	end
chr11_jh159141_fix	1	240775
chr8_ke332500_fix	1	228602
chr5_gl949742_alt	1	226852
chr17_gl383565_alt	1	223995
chr22_jh720449_fix	1	212298
chr17_kb021646_fix	1	211416
chr9_jh806579_fix	1	211307
chrUn_gl000225	1	211173
chr8_gl383536_fix	1	203777
chr21_gl383579_alt	1	201198
chr11_jh159136_alt	1	200998
chr6_jh636057_fix	1	200195
chr18_gl383571_alt	1	198278
chr10_jh591182_fix	1	196262
chr17_jh159145_fix	1	194862
chr16_gl383556_alt	1	192462
chr4_gl000194_random	1	191469
chr11_jh159137_alt	1	191409
chr11_jh159143_fix	1	191402
chr4_gl000193_random	1	189789
chr19_gl383576_alt	1	188024
chr6_kb021644_alt	1	187824
chr9_gl000200_random	1	187035
chrUn_gl000222	1	186861
chrUn_gl000212	1	186858
chr17_jh636061_fix	1	186059
chr12_gl383551_alt	1	184319
chrX_jh806603_fix	1	182949
chr7_gl000195_random	1	182896
chr1_gl383518_alt	1	182439
chr3_gl383526_alt	1	180671
chrUn_gl000223	1	180455
chr20_gl582979_fix	1	179899
chrUn_gl000224	1	179693
chr10_gl383545_alt	1	179254
chrUn_gl000219	1	179198
chr10_jh591183_fix	1	177920
chr17_gl000205_random	1	174588
chr5_gl383531_alt	1	173459
chr3_jh636055_alt	1	173151
chrUn_gl000215	1	172545
chrUn_gl000216	1	172294
chrUn_gl000217	1	172149
chr3_gl383523_fix	1	171362
chr9_gl383541_alt	1	171286
chr19_gl383575_alt	1	170222
chr15_jh720445_fix	1	170033
chr9_gl000199_random	1	169874
chr9_jh806578_fix	1	169437
chr12_gl383550_alt	1	169178
chr10_gl877873_fix	1	168465
chr18_gl383569_alt	1	167950
chr11_jh591185_fix	1	167437
chr12_gl877875_alt	1	167313
chr22_jh806583_fix	1	167183
chrUn_gl000211	1	166566
chr12_gl383548_fix	1	165247
chr18_gl383570_alt	1	164789
chr4_gl383527_alt	1	164536
chrUn_gl000213	1	164239
chr12_gl582974_fix	1	163298
chr9_gl383539_alt	1	162988
chr22_gl383582_alt	1	162811
chrUn_gl000220	1	161802
chrUn_gl000218	1	161147
chr18_gl383572_alt	1	159547
chr19_gl000209_random	1	159169
chr9_kb663605_fix	1	155926
chr19_gl383574_alt	1	155864
chrUn_gl000221	1	155397
chr11_gl383547_alt	1	154407
chr12_gl383553_alt	1	152874
chr1_gl949741_fix	1	151551
chr6_ke332498_fix	1	149443
chr2_gl383521_alt	1	143390
chr12_gl383552_alt	1	138655
chrUn_gl000214	1	137718
chr17_gl383564_alt	1	133151
chrUn_gl000228	1	129120
chr20_gl383577_alt	1	128385
chr10_gl383544_fix	1	128378
chrUn_gl000227	1	128374
chr6_gl383533_alt	1	124736
chr2_gl383522_alt	1	123821
chr4_gl383529_alt	1	121345
chr12_gl383549_alt	1	120804
chr11_jh159139_fix	1	120441
chr7_gl383534_alt	1	119183
chr21_gl383581_alt	1	116690
chr1_gl383519_alt	1	110268
chr11_jh159138_fix	1	108875
chr1_gl000191_random	1	106433
chr18_gl383568_alt	1	104552
chr8_jh159135_fix	1	102251
chr5_gl383530_alt	1	101241
chr3_jh159132_fix	1	100694
chr16_jh720446_fix	1	97345
chr22_gl383583_alt	1	96924
chr2_gl582966_alt	1	96131
chr10_jh806580_fix	1	93149
chr19_gl000208_random	1	92689
chr17_gl383566_alt	1	90219
chr9_gl000198_random	1	90085
chr16_gl383557_alt	1	89672
chr17_jh159148_alt	1	88070
chr5_gl383532_alt	1	82728
chr17_gl000204_random	1	81310
chr3_gl383524_fix	1	78793
chr21_gl383580_alt	1	74652
chr22_kb663609_alt	1	74013
chr22_jh806585_fix	1	73505
chr9_gl383540_alt	1	71551
chr22_jh806584_fix	1	70876
chr20_jh720448_fix	1	70483
chr17_jh159147_alt	1	70345
chr2_gl877870_fix	1	66021
chr3_gl383525_fix	1	65063
chrX_jh720455_fix	1	65034
chr21_gl383578_alt	1	63917
chr9_gl383537_fix	1	62435
chr9_gl383542_alt	1	60032
chr1_gl383517_fix	1	49352
chr1_gl383516_fix	1	49316
chr9_gl383538_fix	1	49281
chr1_jh806575_fix	1	47409
chrUn_gl000233	1	45941
chrUn_gl000237	1	45867
chr17_gl383562_fix	1	45551
chrUn_gl000230	1	43691
chr22_jh806586_fix	1	43543
chrUn_gl000242	1	43523
chrUn_gl000243	1	43341
chrUn_gl000241	1	42152
chrUn_gl000236	1	41934
chrUn_gl000240	1	41933
chr17_gl000206_random	1	41001
chrUn_gl000232	1	40652
chrUn_gl000234	1	40531
chr11_gl000202_random	1	40103
chrUn_gl000238	1	39939
chrUn_gl000244	1	39929
chrUn_gl000248	1	39786
chr8_gl000196_random	1	38914
chrUn_gl000249	1	38502
chrUn_gl000246	1	38154
chr17_gl000203_random	1	37498
chr8_gl000197_random	1	37175
chrUn_gl000245	1	36651
chrUn_gl000247	1	36422
chr9_gl000201_random	1	36148
chr13_gl582975_fix	1	34662
chrUn_gl000235	1	34474
chrUn_gl000239	1	33824
chr21_gl000210_random	1	27682
chrUn_gl000231	1	27386
chr1_jh806573_fix	1	24680
chr1_jh806574_fix	1	22982
chr9_jh806577_fix	1	22394
chrUn_gl000229	1	19913
chrM	1	16571
chrMT	1	16569
chrUn_gl000226	1	15008
chr18_gl000207_random	1	4262
