chrom	start	end
chr7_KV880765v1_fix	1	468267
chr1_KQ031383v1_fix	1	467143
chr7_MU273358v1_alt	1	464417
chr22_ML143378v1_fix	1	461303
chr1_KN538360v1_fix	1	460100
chr10_ML143354v1_fix	1	454963
chr3_KN196475v1_fix	1	451168
chr15_KI270727v1_random	1	448248
chr9_KI270823v1_alt	1	439082
chr11_MU273369v1_fix	1	434831
chr2_MU273337v1_alt	1	431782
chr15_KI270850v1_alt	1	430880
chr8_MU273362v1_fix	1	429744
chr1_KI270759v1_alt	1	425601
chr4_KV766193v1_alt	1	420675
chr10_KN538367v1_fix	1	420164
chr3_KN538364v1_fix	1	415308
chr22_ML143380v1_fix	1	412368
chr3_KV766192v1_fix	1	411654
chr13_ML143366v1_fix	1	409912
chr12_GL877876v1_alt	1	408271
chr18_KQ090028v1_fix	1	407387
chr19_KQ458386v1_fix	1	405389
chrX_ML143381v1_fix	1	403128
chr14_ML143367v1_fix	1	399183
chr15_ML143372v1_fix	1	396515
chrUn_KI270442v1	1	392061
chr17_KI270862v1_alt	1	391357
chr15_GL383555v2_alt	1	388773
chr19_GL383573v1_alt	1	385657
chr6_MU273357v1_alt	1	383128
chr4_KI270896v1_alt	1	378547
chr4_GL383528v1_alt	1	376187
chr17_GL383563v3_alt	1	375691
chr8_KI270810v1_alt	1	374415
chr3_KQ031385v1_fix	1	373699
chr17_MU273378v1_alt	1	372839
chr19_KN196484v1_fix	1	370917
chr15_ML143370v1_fix	1	369264
chr1_GL383520v2_alt	1	366580
chr2_KN538363v1_fix	1	365499
chr5_KV575243v1_alt	1	362221
chr13_KN538372v1_fix	1	356766
chr20_MU273389v1_fix	1	355731
chr1_KI270762v1_alt	1	354444
chr1_KQ458383v1_alt	1	349938
chr11_MU273370v1_fix	1	344606
chr4_ML143345v1_fix	1	341066
chr9_MU273364v1_fix	1	340717
chr21_MU273390v1_fix	1	336752
chr1_MU273332v1_alt	1	335159
chr16_MU273377v1_fix	1	334997
chr19_MU273384v1_fix	1	333754
chrX_MU273397v1_alt	1	330493
chr9_KN196479v1_fix	1	330164
chr1_KZ208906v1_fix	1	330031
chr15_KI270848v1_alt	1	327382
chr17_KI270909v1_alt	1	325800
chr14_KI270844v1_alt	1	322166
chr6_KQ031387v1_fix	1	320750
chr8_KI270900v1_alt	1	318687
chr12_KQ759760v1_fix	1	315610
chr10_GL383546v1_alt	1	309802
chr4_MU273349v1_alt	1	308682
chr13_KI270838v1_alt	1	306913
chr3_KN196476v1_fix	1	305979
chr8_KI270816v1_alt	1	305841
chr1_KN538361v1_fix	1	305542
chr11_KZ559108v1_fix	1	305244
chr22_KI270879v1_alt	1	304135
chr3_KZ559103v1_alt	1	302885
chr5_MU273356v1_alt	1	302485
chr11_KZ559110v1_alt	1	301637
chr3_MU273347v1_fix	1	301310
chr8_KI270813v1_alt	1	300230
chr12_ML143361v1_fix	1	297568
chr11_KI270831v1_alt	1	296895
chr15_GL383554v1_alt	1	296527
chrX_MU273396v1_alt	1	294119
chr19_KV575249v1_alt	1	293522
chr10_ML143355v1_fix	1	292944
chr8_KI270811v1_alt	1	292436
chr18_GL383567v1_alt	1	289831
chr2_MU273340v1_alt	1	284971
chrX_KI270880v1_alt	1	284869
chr8_KI270812v1_alt	1	282736
chr19_KI270921v1_alt	1	282224
chr17_KV766196v1_fix	1	281919
chr17_KI270729v1_random	1	280839
chr11_KZ559109v1_fix	1	279644
chr1_KQ983255v1_alt	1	278659
chr17_JH159146v1_alt	1	278131
chr10_KN196480v1_fix	1	277797
chr17_KV766198v1_alt	1	276292
chr4_ML143349v1_fix	1	276109
chrX_KI270913v1_alt	1	274009
chr20_MU273388v1_fix	1	273725
chr6_KI270798v1_alt	1	271782
chr7_KI270808v1_alt	1	271455
chr16_ML143373v1_fix	1	270967
chr11_ML143358v1_fix	1	270122
chr6_KN196478v1_fix	1	268330
chr16_KQ090027v1_alt	1	267463
chr8_KV880767v1_fix	1	265876
chr10_KQ090021v1_fix	1	264545
chr14_ML143368v1_alt	1	264228
chr22_KI270876v1_alt	1	263666
chr15_KI270851v1_alt	1	263054
chr11_MU273368v1_alt	1	261194
chr22_KI270875v1_alt	1	259914
chr1_KI270766v1_alt	1	256271
chr7_ML143352v1_fix	1	254759
chr1_MU273336v1_fix	1	250447
chr19_KI270882v1_alt	1	248807
chr3_KI270778v1_alt	1	248252
chr17_KV766197v1_alt	1	246895
chr6_KQ090016v1_fix	1	245716
chr15_KI270849v1_alt	1	244917
chr2_MU273344v1_fix	1	244725
chr4_KI270786v1_alt	1	244096
chr6_KZ208911v1_fix	1	242796
chr19_KV575250v1_alt	1	241058
chr12_KI270835v1_alt	1	238139
chr4_KQ090015v1_alt	1	236512
chr17_KI270858v1_alt	1	235827
chr4_ML143344v1_fix	1	235734
chr17_MU273379v1_fix	1	234878
chr19_KI270867v1_alt	1	233762
chr16_KI270855v1_alt	1	232857
chr18_KZ559115v1_fix	1	230843
chr4_KQ983257v1_fix	1	230434
chr8_KI270926v1_alt	1	229282
chr5_GL949742v1_alt	1	226852
chr19_MU273386v1_fix	1	226166
chr3_KI270780v1_alt	1	224108
chr17_GL383565v1_alt	1	223995
chr2_KI270774v1_alt	1	223625
chr19_KV575256v1_alt	1	223118
chr4_KI270790v1_alt	1	220246
chr11_KI270927v1_alt	1	218612
chr11_ML143359v1_fix	1	217075
chr19_KI270932v1_alt	1	215732
chr3_ML143343v1_alt	1	215443
chr11_KI270903v1_alt	1	214625
chr2_KI270894v1_alt	1	214158
chr1_KQ458384v1_alt	1	212205
chr1_MU273335v1_fix	1	211934
chr12_KN196482v1_fix	1	211377
chr14_GL000225v1_random	1	211173
chrUn_KI270743v1	1	210658
chr1_MU273334v1_fix	1	210426
chr11_KI270832v1_alt	1	210133
chr7_KI270805v1_alt	1	209988
chrY_KZ208924v1_fix	1	209722
chr4_GL000008v2_random	1	209709
chr7_KI270809v1_alt	1	209586
chr19_KI270887v1_alt	1	209512
chr5_MU273353v1_fix	1	208405
chr2_KN538362v1_fix	1	208149
chr8_MU273363v1_fix	1	207371
chr13_KN538371v1_fix	1	206320
chr4_KI270789v1_alt	1	205944
chr4_MU273351v1_fix	1	205691
chr4_KQ983258v1_alt	1	205407
chr3_KI270779v1_alt	1	205312
chr19_KI270914v1_alt	1	205194
chr18_KQ458385v1_alt	1	205101
chr11_KQ759759v2_fix	1	204999
chr19_KI270886v1_alt	1	204239
chr11_KI270829v1_alt	1	204059
chr15_MU273375v1_alt	1	204007
chr11_KN538368v1_alt	1	203552
chr14_GL000009v2_random	1	201709
chr21_GL383579v2_alt	1	201197
chr11_JH159136v1_alt	1	200998
chr19_KI270930v1_alt	1	200773
chrUn_KI270747v1	1	198735
chr18_GL383571v1_alt	1	198278
chr19_KI270920v1_alt	1	198005
chr3_KZ559102v1_alt	1	197752
chr6_KI270797v1_alt	1	197536
chr3_KI270935v1_alt	1	197351
chr11_KQ759759v1_fix	1	196940
chr17_KI270861v1_alt	1	196688
chr15_KI270906v1_alt	1	196384
chr10_MU273367v1_fix	1	196262
chr5_KI270791v1_alt	1	195710
chr3_KZ559105v1_alt	1	195063
chr14_KI270722v1_random	1	194050
chr12_ML143362v1_fix	1	192531
chr16_GL383556v1_alt	1	192462
chr13_KI270840v1_alt	1	191684
chr14_GL000194v1_random	1	191469
chr11_JH159137v1_alt	1	191409
chr19_KI270917v1_alt	1	190932
chr7_KI270899v1_alt	1	190869
chr21_MU273392v1_fix	1	189707
chr19_KI270923v1_alt	1	189352
chr10_KI270825v1_alt	1	188315
chr19_GL383576v1_alt	1	188024
chrX_KV766199v1_alt	1	188004
chr19_KI270922v1_alt	1	187935
chr17_MU273382v1_fix	1	187626
chrUn_KI270742v1	1	186739
chr1_KN196472v1_fix	1	186494
chr22_KI270878v1_alt	1	186262
chr19_KI270929v1_alt	1	186203
chr11_KI270826v1_alt	1	186169
chr6_KB021644v2_alt	1	185823
chr17_GL000205v2_random	1	185591
chr10_KQ090020v1_alt	1	185507
chr1_KI270765v1_alt	1	185285
chr19_KI270916v1_alt	1	184516
chr19_KI270890v1_alt	1	184499
chr3_KI270784v1_alt	1	184404
chr12_GL383551v1_alt	1	184319
chr20_KI270870v1_alt	1	183433
chrUn_GL000195v1	1	182896
chr1_GL383518v1_alt	1	182439
chr11_KQ090022v1_fix	1	181958
chr22_KI270736v1_random	1	181920
chr2_KZ208907v1_alt	1	181658
chr10_KI270824v1_alt	1	181496
chr11_KZ559111v1_alt	1	181167
chr14_KI270845v1_alt	1	180703
chr3_GL383526v1_alt	1	180671
chr13_KI270839v1_alt	1	180306
chr7_KQ031388v1_fix	1	179932
chr22_KI270733v1_random	1	179772
chrUn_GL000224v1	1	179693
chr10_GL383545v1_alt	1	179254
chrUn_GL000219v1	1	179198
chr5_KI270792v1_alt	1	179043
chr17_KI270860v1_alt	1	178921
chr19_KV575252v1_alt	1	178197
chr19_GL000209v2_alt	1	177381
chr11_KI270830v1_alt	1	177092
chr9_KI270719v1_random	1	176845
chr4_ML143347v1_fix	1	176674
chrUn_GL000216v2	1	176608
chr22_KI270928v1_alt	1	176103
chr1_KI270712v1_random	1	176043
chr3_KZ208909v1_alt	1	175849
chr6_KI270800v1_alt	1	175808
chr1_KI270706v1_random	1	175055
chr12_KZ208918v1_alt	1	174808
chr22_KQ458388v1_alt	1	174749
chr2_MU273345v1_fix	1	174385
chr2_KI270776v1_alt	1	174166
chr18_KI270912v1_alt	1	174061
chr3_KI270777v1_alt	1	173649
chr5_GL383531v1_alt	1	173459
chr3_JH636055v2_alt	1	173151
chr14_KI270725v1_random	1	172810
chr5_KI270796v1_alt	1	172708
chr17_MU273383v1_fix	1	172609
chr7_KZ559106v1_alt	1	172555
chr14_KZ208919v1_alt	1	171798
chr9_GL383541v1_alt	1	171286
chr19_KV575259v1_alt	1	171263
chr19_KI270885v1_alt	1	171027
chr11_ML143360v1_fix	1	170928
chr19_KI270919v1_alt	1	170701
chr19_KI270889v1_alt	1	170698
chr19_KI270891v1_alt	1	170680
chr19_KI270915v1_alt	1	170665
chr19_KI270933v1_alt	1	170537
chr19_KI270883v1_alt	1	170399
chr19_GL383575v2_alt	1	170222
chr19_KV575247v1_alt	1	170206
chr19_KI270931v1_alt	1	170148
chr12_GL383550v2_alt	1	169178
chr16_KQ031390v1_alt	1	169136
chr13_KI270841v1_alt	1	169134
chrUn_KI270744v1	1	168472
chr13_KQ090024v1_alt	1	168146
chr19_KV575248v1_alt	1	168131
chr18_KI270863v1_alt	1	167999
chr18_GL383569v1_alt	1	167950
chr12_GL877875v1_alt	1	167313
chr21_KI270874v1_alt	1	166743
chr19_KV575253v1_alt	1	166713
chr3_KI270924v1_alt	1	166540
chr1_KN196473v1_fix	1	166200
chr1_KZ208904v1_alt	1	166136
chr1_KI270761v1_alt	1	165834
chr3_KQ031386v1_fix	1	165718
chr3_KI270937v1_alt	1	165607
chr11_ML143357v1_fix	1	165419
chr8_KZ208914v1_fix	1	165120
chr22_KI270734v1_random	1	165050
chr18_GL383570v1_alt	1	164789
chr5_KI270794v1_alt	1	164558
chr4_GL383527v1_alt	1	164536
chrUn_GL000213v1	1	164239
chr3_KI270936v1_alt	1	164170
chr3_KZ559101v1_alt	1	164041
chr19_KV575246v1_alt	1	163926
chr9_KQ090018v1_alt	1	163882
chr4_KQ090014v1_alt	1	163749
chr3_KI270934v1_alt	1	163458
chr18_KZ559116v1_alt	1	163186
chr9_GL383539v1_alt	1	162988
chr3_KI270895v1_alt	1	162896
chr22_GL383582v2_alt	1	162811
chr3_KI270782v1_alt	1	162429
chr1_KI270892v1_alt	1	162212
chrUn_GL000220v1	1	161802
chr2_KI270767v1_alt	1	161578
chr2_KI270715v1_random	1	161471
chr2_KI270893v1_alt	1	161218
chrUn_GL000218v1	1	161147
chr19_KV575255v1_alt	1	161095
chr18_GL383572v1_alt	1	159547
chr19_KV575251v1_alt	1	159285
chr8_KI270817v1_alt	1	158983
chr4_KI270788v1_alt	1	158965
chr13_ML143364v1_fix	1	158944
chrUn_KI270749v1	1	158759
chr7_KI270806v1_alt	1	158166
chr7_KI270804v1_alt	1	157952
chr18_KI270911v1_alt	1	157710
chrUn_KI270741v1	1	157432
chr17_KI270910v1_alt	1	157099
chr19_KI270884v1_alt	1	157053
chr8_KV880766v1_fix	1	156998
chr19_KV575258v1_alt	1	156965
chr22_KN196485v1_alt	1	156562
chr22_KQ458387v1_alt	1	155930
chr19_GL383574v1_alt	1	155864
chr19_KI270888v1_alt	1	155532
chr3_GL000221v1_random	1	155397
chr17_KV575245v1_fix	1	154723
chr11_GL383547v1_alt	1	154407
chr12_KZ559112v1_alt	1	154139
chr2_KI270716v1_random	1	153799
chr22_KN196486v1_alt	1	153027
chr12_GL383553v2_alt	1	152874
chr6_KI270799v1_alt	1	152148
chr22_KI270731v1_random	1	150754
chrUn_KI270751v1	1	150742
chr8_MU273359v1_fix	1	150302
chrUn_KI270750v1	1	148850
chr13_KN538373v1_fix	1	148762
chr2_ML143341v1_fix	1	145975
chr19_KV575260v1_alt	1	145691
chr8_KI270818v1_alt	1	145606
chr22_KQ759761v1_alt	1	145162
chr17_MU273381v1_fix	1	144689
chrX_KI270881v1_alt	1	144206
chr21_KI270873v1_alt	1	143900
chr2_GL383521v1_alt	1	143390
chr7_KV880764v1_fix	1	142129
chr8_KI270814v1_alt	1	141812
chr1_KQ458382v1_alt	1	141019
chr11_KV766195v1_fix	1	140877
chrX_MU273394v1_fix	1	140567
chr2_KZ208908v1_alt	1	140361
chr1_KZ208905v1_alt	1	140355
chr6_KV766194v1_fix	1	139427
chr5_KN196477v1_alt	1	139087
chr12_GL383552v1_alt	1	138655
chrUn_KI270519v1	1	138126
chr2_KI270775v1_alt	1	138019
chr17_ML143374v1_fix	1	137908
chr19_MU273385v1_fix	1	137818
chr17_KI270907v1_alt	1	137721
chrUn_GL000214v1	1	137718
chr8_KI270901v1_alt	1	136959
chr2_KI270770v1_alt	1	136240
chr5_KZ208910v1_alt	1	135987
chr16_KI270854v1_alt	1	134193
chr9_KQ090019v1_alt	1	134099
chr8_KI270819v1_alt	1	133535
chr17_GL383564v2_alt	1	133151
chr2_KI270772v1_alt	1	133041
chr8_KI270815v1_alt	1	132244
chr5_KI270795v1_alt	1	131892
chr5_KI270898v1_alt	1	130957
chr20_GL383577v2_alt	1	128386
chr1_KI270708v1_random	1	127682
chr7_KI270807v1_alt	1	126434
chr5_KI270793v1_alt	1	126136
chr4_ML143348v1_fix	1	125549
chr6_GL383533v1_alt	1	124736
chr2_GL383522v1_alt	1	123821
chr13_KQ090025v1_alt	1	123480
chr19_KI270918v1_alt	1	123111
chr11_MU273371v1_fix	1	122722
chr1_KN196474v1_fix	1	122022
chr12_GL383549v1_alt	1	120804
chr2_KI270769v1_alt	1	120616
chr2_MU273341v1_fix	1	120381
chr4_KI270785v1_alt	1	119912
chr12_KI270834v1_alt	1	119498
chr7_GL383534v2_alt	1	119183
chr20_KI270869v1_alt	1	118774
chr17_KZ559114v1_alt	1	116753
chr21_GL383581v2_alt	1	116689
chr4_MU273350v1_fix	1	113364
chr3_KI270781v1_alt	1	113034
chr17_KI270730v1_random	1	112551
chrUn_KI270438v1	1	112505
chr4_KI270787v1_alt	1	111943
chr18_KI270864v1_alt	1	111737
chr2_KI270771v1_alt	1	110395
chr1_GL383519v1_alt	1	110268
chr2_KI270768v1_alt	1	110099
chr1_KI270760v1_alt	1	109528
chr12_KQ090023v1_alt	1	109323
chr3_KI270783v1_alt	1	109187
chr11_KN196481v1_fix	1	108875
chr17_KI270859v1_alt	1	108763
chr8_MU273361v1_fix	1	106905
chr11_KI270902v1_alt	1	106711
chr3_KZ559104v1_fix	1	105527
chr18_GL383568v1_alt	1	104552
chr12_MU273372v1_fix	1	104537
chr22_KI270737v1_random	1	103838
chr13_KI270843v1_alt	1	103832
chr8_KZ559107v1_alt	1	103072
chr22_KI270877v1_alt	1	101331
chr5_GL383530v1_alt	1	101241
chrY_KN196487v1_fix	1	101150
chr22_KQ759762v2_fix	1	101040
chr22_KQ759762v1_fix	1	101037
chr19_KV575257v1_alt	1	100553
chr11_KI270721v1_random	1	100316
chr19_KV575254v1_alt	1	99845
chr22_KI270738v1_random	1	99375
chr15_ML143369v1_fix	1	97763
chr22_GL383583v2_alt	1	96924
chr2_GL582966v2_alt	1	96131
chrUn_KI270748v1	1	93321
chr18_KZ208922v1_fix	1	93070
chrUn_KI270435v1	1	92983
chr5_GL000208v1_random	1	92689
chrUn_KI270538v1	1	91309
chr4_KQ090013v1_alt	1	90922
chr17_GL383566v1_alt	1	90219
chr5_ML143350v1_fix	1	89956
chr16_GL383557v1_alt	1	89672
chr19_MU273387v1_alt	1	89211
chr17_JH159148v1_alt	1	88070
chr16_MU273376v1_fix	1	87715
chr12_KN538370v1_fix	1	86533
chr10_KN538366v1_fix	1	85284
chr2_ML143342v1_fix	1	84043
chr5_GL383532v1_alt	1	82728
chr21_KI270872v1_alt	1	82692
chr6_KQ090017v1_alt	1	82315
chrUn_KI270756v1	1	79590
chr16_KZ208921v1_alt	1	78609
chr6_KI270758v1_alt	1	76752
chr12_KI270833v1_alt	1	76061
chr6_KI270802v1_alt	1	75005
chr21_GL383580v2_alt	1	74653
chr22_KB663609v1_alt	1	74013
chr22_KI270739v1_random	1	73985
chr6_ML143351v1_fix	1	73265
chr9_GL383540v1_alt	1	71551
chrUn_KI270757v1	1	71251
chr2_KI270773v1_alt	1	70887
chr17_JH159147v1_alt	1	70345
chrX_MU273393v1_fix	1	68810
chrX_ML143383v1_fix	1	68192
chr11_KI270827v1_alt	1	67707
chr1_KI270709v1_random	1	66860
chrUn_KI270746v1	1	66486
chr13_ML143365v1_fix	1	65394
chr12_KZ208917v1_fix	1	64689
chr16_KI270856v1_alt	1	63982
chr21_GL383578v2_alt	1	63917
chrUn_KI270753v1	1	62944
chr19_KI270868v1_alt	1	61734
chr9_GL383542v1_alt	1	60032
chr16_KQ090026v1_alt	1	59016
chr20_KI270871v1_alt	1	58661
chr17_ML143375v1_fix	1	56695
chr12_KI270836v1_alt	1	56134
chr4_ML143346v1_fix	1	53476
chr19_KI270865v1_alt	1	52969
chr1_KI270764v1_alt	1	50258
chrY_KZ208923v1_fix	1	48370
chr11_ML143356v1_fix	1	45257
chr1_KZ559100v1_fix	1	44955
chrUn_KI270589v1	1	44474
chr14_KI270726v1_random	1	43739
chr19_KI270866v1_alt	1	43156
chr22_KI270735v1_random	1	42811
chr1_KI270711v1_random	1	42210
chrUn_KI270745v1	1	41891
chr1_KI270714v1_random	1	41717
chr22_KI270732v1_random	1	41543
chr1_KI270713v1_random	1	40745
chrUn_KI270754v1	1	40191
chr1_KI270710v1_random	1	40176
chr12_KI270837v1_alt	1	40090
chr9_KI270717v1_random	1	40062
chr14_KI270724v1_random	1	39555
chr8_MU273360v1_fix	1	39290
chr9_KI270720v1_random	1	39050
chr14_KI270723v1_random	1	38115
chr9_KI270718v1_random	1	38054
chrUn_KI270317v1	1	37690
chr13_KI270842v1_alt	1	37287
chrY_KI270740v1_random	1	37240
chrUn_KI270755v1	1	36723
chr8_KI270820v1_alt	1	36640
chr13_KN196483v1_fix	1	35455
chr5_MU273352v1_fix	1	34400
chr1_KI270707v1_random	1	32032
chrUn_KI270579v1	1	31033
chrX_ML143382v1_fix	1	28824
chrUn_KI270752v1	1	27745
chr9_ML143353v1_fix	1	25408
chrUn_KI270512v1	1	22689
chrUn_KI270322v1	1	21476
chrX_ML143385v1_fix	1	17435
chrM	1	16569
chrUn_GL000226v1	1	15008
chrX_ML143384v1_fix	1	14678
chr10_KN538365v1_fix	1	14347
chrUn_KI270311v1	1	12399
chr22_ML143379v1_fix	1	12295
chrUn_KI270366v1	1	8320
chrUn_KI270511v1	1	8127
chrUn_KI270448v1	1	7992
chrUn_KI270521v1	1	7642
chr13_ML143363v1_fix	1	7309
chrUn_KI270581v1	1	7046
chrUn_KI270582v1	1	6504
chrUn_KI270515v1	1	6361
chrUn_KI270588v1	1	6158
chrUn_KI270591v1	1	5796
chrUn_KI270522v1	1	5674
chrUn_KI270507v1	1	5353
chrUn_KI270590v1	1	4685
chrUn_KI270584v1	1	4513
chrUn_KI270320v1	1	4416
chrUn_KI270382v1	1	4215
chrUn_KI270468v1	1	4055
chrUn_KI270467v1	1	3920
chrUn_KI270362v1	1	3530
chrUn_KI270517v1	1	3253
chrUn_KI270593v1	1	3041
chrUn_KI270528v1	1	2983
chrUn_KI270587v1	1	2969
chrUn_KI270364v1	1	2855
chrUn_KI270371v1	1	2805
chrUn_KI270333v1	1	2699
chrUn_KI270374v1	1	2656
chrUn_KI270411v1	1	2646
chrUn_KI270414v1	1	2489
chrUn_KI270510v1	1	2415
chrUn_KI270390v1	1	2387
chrUn_KI270375v1	1	2378
chrUn_KI270420v1	1	2321
chrUn_KI270509v1	1	2318
chrUn_KI270315v1	1	2276
chrUn_KI270302v1	1	2274
chrUn_KI270518v1	1	2186
chrUn_KI270530v1	1	2168
chrUn_KI270304v1	1	2165
chrUn_KI270418v1	1	2145
chrUn_KI270424v1	1	2140
chrUn_KI270417v1	1	2043
chrUn_KI270508v1	1	1951
chrUn_KI270303v1	1	1942
chrUn_KI270381v1	1	1930
chrUn_KI270529v1	1	1899
chrUn_KI270425v1	1	1884
chrUn_KI270396v1	1	1880
chrUn_KI270363v1	1	1803
chrUn_KI270386v1	1	1788
chrUn_KI270465v1	1	1774
chrUn_KI270383v1	1	1750
chrUn_KI270384v1	1	1658
chrUn_KI270330v1	1	1652
chrUn_KI270372v1	1	1650
chrUn_KI270548v1	1	1599
chrUn_KI270580v1	1	1553
chrUn_KI270387v1	1	1537
chrUn_KI270391v1	1	1484
chrUn_KI270305v1	1	1472
chrUn_KI270373v1	1	1451
chrUn_KI270422v1	1	1445
chrUn_KI270316v1	1	1444
chrUn_KI270338v1	1	1428
chrUn_KI270340v1	1	1428
chrUn_KI270583v1	1	1400
chrUn_KI270334v1	1	1368
chrUn_KI270429v1	1	1361
chrUn_KI270393v1	1	1308
chrUn_KI270516v1	1	1300
chrUn_KI270389v1	1	1298
chrUn_KI270466v1	1	1233
chrUn_KI270388v1	1	1216
chrUn_KI270544v1	1	1202
chrUn_KI270310v1	1	1201
chrUn_KI270412v1	1	1179
chrUn_KI270395v1	1	1143
chrUn_KI270376v1	1	1136
chrUn_KI270337v1	1	1121
chrUn_KI270335v1	1	1048
chrUn_KI270378v1	1	1048
chrUn_KI270379v1	1	1045
chrUn_KI270329v1	1	1040
chrUn_KI270419v1	1	1029
chrUn_KI270336v1	1	1026
chrUn_KI270312v1	1	998
chrUn_KI270539v1	1	993
chrUn_KI270385v1	1	990
chrUn_KI270423v1	1	981
chrUn_KI270392v1	1	971
chrUn_KI270394v1	1	970
